tag,name,subsidiary_of,rating,result page variation,aliases,total,Rank - Total,preserve,data_sources,reason,country,recommended_in,Top 3 Ethical,website,description,total-USD,total-AUD,total-CAD,total-EUR,total-GBP,checkings/savings offered,reviewed_by,custom_text_status,Unique Statement,headline,dirty deal 1,dirty deal 2,Notes,zak's crazy filter,dirty deals link,Our Take,From the website,Checking & Savings Accounts,Checking & Savings Accounts custom,Mobile & Online Banking,Branches Available,Branches Available custom,Mobile & Online Banking custom,Free International Card Payments,Free ATM Withdrawals,Free Checking Account Available,Interest Rates,Credit Card,Deposit Protection,Mortgage or Loan Options,Free ATM Withdrawals custom,Free Checking Account Available custom,Free International Card Payments custom,Credit Card custom,Mortgage or Loan Options custom,top blurb,top blurb headline,permid,isin,viafid,lei
mascoma_bank,Mascoma Bank,,ok,bimpact,mascoma bank,,,,bimpact,"This rating was based on Mascoma Bank's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United States,,,www.mascomabank.com,"Mascoma Savings Bank is mutually owned and not for sale. With no shareholders to please, they are committed to remaining independent and to re-investing profits into the community. Their first priority has always been—and always will be—you, their customers. They are different than other banks and give you the security of a long-term relationship. They make sure you can pick up the phone and get things done locally with people who make decisions on your behalf. At Mascoma Savings Bank, they're putting you first, today and tomorrow.  Their vision is to remain a mutually owned financial services company committed to exceeding the expectations of their customers, community, and employees. Their mission is to profitably provide, with knowledgeable service and convenient access, a broad array of financial products and services designed to meet the changing needs of their consumer and business customers.",$29,$40,$39,€26,£22.64,yes,,in progress,,,,,"Not sure what to do: not listed by Bank Track, not in RAN 2021 data",,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
amalgamated_bank,Amalgamated Bank,,great,gabv,amalgamated bank,,,,"bimpact,custom,gabv","This rating was manually determined. For great banks, the rating was assigned because the bank.green team was able to verify that the bank does not invest in fossil fuels. You can can contact hello@bank.green to ask how we determined other ratings.",United States,,,www.amalgamatedbank.com,"Amalgamated Bank has always been a different kind of bank. Founded in 1923 by the Amalgamated Clothing Workers of America, a textile union of mostly immigrants in New York City, Amalgamated Bank became the first financial institution for the working class in a time when banking solely benefited corporations and the wealthy. Amalgamated pioneered free savings accounts, free checking accounts, unsecured credit, affordable housing loans, and second chance bank accounts for those people who had credit problems in the past.    Since then, the bank has grown to serve those who help make the world more just, compassionate and sustainable. Their extensive experience, financial resources and community of like-minded customers offers labor unions, philanthropies, political campaigns, socially and environmentally responsible corporations, as well as individuals, a unique set of financial services enabling them to lead the charge to improve our communities and our country. It’s this commitment to working people and the organizations that support them that continues to set them apart from other banks.",$29,$40,$39,€26,£22.64,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Your money is definitely not funding the fossil fuel industry. Your bank believes in transparency and you can be sure that your money is not enabling gas, oil, or coal extraction. We hope this makes you feel tremendous (boasting is encouraged), but don’t put your feet up just yet – scroll down to discover the next step!",Your bank is great. ,,,,
globalance_bank,Globalance Bank,,ok,bimpact,globalance bank,,,,bimpact,"This rating was based on Globalance Bank's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",Switzerland,,,www.globalance-bank.com,"Globalance is an owner-led Swiss private bank and stands for a paradigm shift in finance and investing. It primarily manages the wealth and capital of private clients, families and foundations according to principles of long-term investment. Impact orientation is integral to its multi-asset class investment approach.    As the first bank in the world to do so, Globalance Bank has developed an instrument for that purpose, one that creates transparency: the Globalance Footprint. This visionary investment compass gives investors insight, foresight and a sense of security. It allows clients to understand the economic, societal and environmental impacts of all their assets. An interactive online-platform allows clients real-time access to relevant impact data and commentary covering their entire individual portfolios.    In the interests of its clients Globalance is completely independent, does not promote its own investment products and maintains full transparency on its fees.",$29,$40,$39,€26,£22.64,no,,not required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
ara_consultants_limited,ARA Consultants Limited,,ok,bimpact,ara consultants limited,,,,bimpact,"This rating was based on ARA Consultants Limited's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",Australia,,,www.araconsultants.com.au,"At ARA they do personal financial planning. Face to face. They are owned entirely by staff and a number of small accounting firms. They have no affiliation with any other financial institution, bank, life office or fund manager.  They like to keep things personal. They have developed their own products and services specifically for their clients and don’t sell other bank or institution’s products. They neither receive nor pay commissions connected to their products.   Indeed, everyone at ARA use the same products themselves and pay the same price. If it’s good enough for you then it’s good enough for them. They also believe that companies with strong governance who consider the environmental, social and governance (ESG) risk of their business make for better long-term investments. To this end, they have crafted their products to favour investments that provide ongoing and sustainable economic growth. They all sleep well at night.",$29,$40,$39,€26,£22.64,no,,not required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
beyond_bank_australia,Beyond Bank Australia,,great,,"beyond bank,beyond bank australia",,,,"bimpact,custom,marketforces","This rating was manually determined. For great banks, the rating was assigned because the bank.green team was able to verify that the bank does not invest in fossil fuels. You can can contact hello@bank.green to ask how we determined other ratings.",Australia,Australia,checked,www.beyondbank.com.au,"Beyond Bank Australia is one of Australia’s largest customer owned banks, with assets under management over $6 billion, 245,000 customers & 650 staff. They provide personal and business banking services along with financial planning and work closely with community organisations and groups.",$29,$40,$39,€26,£22.64,yes,albert,,,,,,,,,"As the first official certified B Corporation bank in Australia, Beyond Bank is leading the way when it comes to environmental performance, accountability and transparency. They offer an extensive variety of accounts, loans, and other valuable financial services for individuals, businesses, and communities looking to invest their money more sustainably.","As a 100% customer-owned bank, we strive to go beyond for our customers. We aim to exceed your expectations and return outstanding value through our wide range of products and services. A better world is important to us too. That's why we work closely with not-for-profits and community organisations and support their initiatives through fundraising, donations and volunteering.",checked,,checked,checked,,,checked,checked,checked,Up to 0.75%,checked,"Up to $25,000 (FSC)",checked,,,,,,,,,,,
bancoestado_microempresas,BancoEstado Microempresas,,ok,bimpact,bancoestado microempresas,,,,bimpact,"This rating was based on BancoEstado Microempresas's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",Chile,,,www.bancoestado.cl,"BancoEstado Microempresas is a public bank located in Chile. It provides financial services to consumers and companies, with a focus on national coverage in terms of geography and social sectors and a particular emphasis on the unbanked and small and medium enterprises.",$29,$40,$39,€26,£22.64,yes,,not required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
vaya_finserv_private_limited,Vaya Finserv Private Limited,,ok,bimpact,vaya finserv private limited,,,,bimpact,"This rating was based on Vaya Finserv Private Limited's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",India,,,www.vayaindia.com,"Vaya provides working capital loans for small and micro enterprises. Established by a team of seasoned microfinance professionals, Vaya uses the latest technology to deliver timely and relevant financial services to underserved rural geographies in India. Vaya was the first company to use tablet banking in rural India. Since then, Vaya has added other state-of-the-art technology, from QR readers to iris-scan biometric authentication, and Data Analytics to Business Intelligence. Vaya has a heightened focus on the seven principles of customer protection: fair and respectful treatment, transparency, designing suitable products, preventing over-indebtedness, privacy, and having a mechanism for complaint resolution. Since Vaya customers are not familiar with conventional banking, Vaya trains them. Vaya uses simple and relatable methods to explain loan terms, interest rates, joint liability and other features. Such training not only imparts awareness but also serves to bolster trust and strengthen the credit culture. Vaya's field staff invest significant time in developing good relationships with customers. There are extensive checks and balances in place to ensure fair and respectful treatment of customers. Field staff undergo thorough and ongoing training and evaluation.",$29,$40,$39,€26,£22.64,no,,not required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
maanch,Maanch,,ok,bimpact,maanch,,,,bimpact,"This rating was based on Maanch's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United Kingdom,,,maanch.com/,"Maanch is an award winning global impact platform, transforming the way millions of people engage with philanthropy and impact investing worldwide.  Maanch aims to influence the flow of funds towards global sustainable development, by providing technology, data and insights on social, environmental, and economic impact. Maanch provides tailor made digital solutions for individuals & families, private banks , wealth advisory firms, grant making trusts and foundations, CSR teams, UK registered charities and international nonprofit organisations .",$29,$40,$39,€26,£22.64,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
spring_bank,Spring Bank,,ok,bimpact,spring bank,,,,bimpact,"This rating was based on Spring Bank's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United States,,,www.springbankny.com,"Spring Bank is an FDIC insured community bank headquartered in the Bronx, New York. In 2007, the bank opened in the South Bronx, the only bank to establish its base in this New York borough in over 30 years. The bank opened its second branch in Harlem in 2012. Spring Bank has been designated by the US Treasury as a Community Development Financial Institution (CDFI), in recognition of the investments and loans the bank makes in low and moderate income communities in New York City. Spring Bank is also a preferred lender with the US Small Business Administration (SBA).    Spring BankÕs mission is to pursue a double bottom line of providing returns to its shareholders and serving the needs of underserved consumers and small businesses in the New York City area. In neighborhoods where the use of high-cost fringe financial products is more the norm than the exception, the bank has created innovative depository and loan products designed to help unbanked and underbanked consumers avoid getting trapped in cycles of debt and build wealth. In addition the bank attempts to serve the needs of the small businesses that create wealth and jobs for residents of the New York City area.",$29,$40,$39,€26,£22.64,yes,,in progress,,,,,"Not sure what to do: not listed by Bank Track, not in RAN 2021 data. Ethical bank?",,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
duca_financial_services_credit_union,DUCA Financial Services Credit Union,,great,,duca financial services credit union,,,,"bimpact,custom","This rating was manually determined. For great banks, the rating was assigned because the bank.green team was able to verify that the bank does not invest in fossil fuels. You can can contact hello@bank.green to ask how we determined other ratings.",Canada,Canada,checked,www.duca.com,"DUCA exists to help people do more, be more and achieve more with their money and their lives.   They do this by offering the best banking products and services in their branches, online and from mobile devices. DUCA is driven by a cooperative philosophy that puts you - a Member and owner - at the centre of every decision they make, giving you a voice in how they’re run and rewarding you for your loyalty by sharing their profits.",$29,$40,$39,€26,£22.64,yes,albert,incomplete,,,,,,,,"DUCA Financial Services is the first B Corporation Certified credit union in Canada. This means that they consistently uphold high standards of social and environmental performance, accountability and transparency. They also provide their customers with an abundance of valuable financial products and services such as personal savings/checking accounts, mortgage loans, credit cards, and insurance options.","We do more than financial services. Our DUGood community philosophy contributes in meaningful ways to local, national, and international initiatives that our members, board, and staff deeply care about. This led to DUCA's designation as a B-Corp certified organization, the first ever credit union to receive this global recognition.",checked,,checked,checked,,,,checked,checked,Up to 0.45%,checked,"Up to $250,000 (FSRA)",checked,,,,,,,,,,,
coast_capital_savings,Coast Capital Savings,,ok,bimpact,coast capital savings,,,,bimpact,"This rating was based on Coast Capital Savings's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",Canada,,,www.coastcapitalsavings.com,"Coast Capital Savings is Canada’s largest credit union by membership. We’re on a mission to help empower our members to achieve what’s important in their lives by improving their financial well-being. We offer innovative products and services to put our members in the driver’s seat, like The Where You’re At Money Chat®, Take Charge Money Manager™, and The Free Chequing, Free Debit and More Account®. Our employees help our members build their financial future and everyday money management habits. As an Imagine Canada Caring Company, Coast Capital invests 7% of pre-tax profits every year into local communities with a focus on empowering and engaging youth. So just by banking with us, our members are supporting youth in their local communities too.",$29,$40,$39,€26,£22.64,yes,,in progress,,,,,"Not sure what to do: not listed by Bank Track, not in RAN 2021 data.",,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
greenline_community_ventures_llc,Greenline Community Ventures LLC,,ok,bimpact,greenline community ventures llc,,,,bimpact,"This rating was based on Greenline Community Ventures LLC's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United States,,,www.greenlineventures.com,"Greenline Community Ventures LLC is a minority-controlled and employee-owned investment management firm that specializes in delivering capital to business and communities that are underserved by traditional capital providers. Our mission is to 1) improve the flow of capital into underserved communities and 2) motivate market rate capital to invest in community priorities. We leverage our knowledge, experience and relationships to serve the capital needs of low income communities and to create sustainable outcomes. The members of Greenline possess significant knowledge, experience and skills in investment banking, commercial lending, community development and asset management.",$29,$40,$39,€26,£22.64,no,,not required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
keene_advisors_inc,"Keene Advisors, Inc.",,ok,bimpact,keene advisors inc,,,,bimpact,"This rating was based on Keene Advisors, Inc.'s certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United States,,,www.keeneadvisors.com,"Keene Advisors is a boutique investment bank and consulting firm that advises clients on their most important strategic and financial challenges. Since 2015, Keene Advisors has provided on-demand investment banking and consulting services to clients ranging from start-ups to Fortune 50 companies, private equity firms and family offices across North America, Europe and the Middle East.  The Company seeks to promote positive, lasting change in the world through charitable donations and active participation in charitable and civic organizations. Keene Advisors combines the experience of a large global financial services firm, the focus and independence of a boutique, and the passion and commitment of a Certified B Corporation™  Securities related services are offered through Burch & Company, member FINRA / SIPC. Keene Advisors and Burch & Company are not affiliated entities.",$29,$40,$39,€26,£22.64,no,,not required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
brattleboro_savings__loan,Brattleboro Savings & Loan,,ok,bimpact,brattleboro savings  loan,,,,bimpact,"This rating was based on Brattleboro Savings & Loan's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United States,,,brattbank.com,"Founded in 1912 the Brattleboro Savings & Loan is an independent mutual bank with no shareholders.  They are a leading provider of financial services to residents, businesses and non-profits in their market area.  They offer a full range of personal and commercial banking services. Park Place Financial Advisors, the wealth management division, provides investment management services. INVESTMENTS ARE NOT INSURED BY THE FDIC AND ARE NOT DEPOSITS OR OTHER OBLIGATIONS OF, OR GUARANTEED BY, ANY DEPOSITORY INSTITUTION.  FUNDS ARE SUBJECT TO INVESTMENT RISKS, INCLUDING POSSIBLE LOSS.  The financial advisors of Park Place Financial Advisors offer securities and advisory services through Commonwealth Financial Network®, Member www.FINRA.org/www.SIPC.org, a Registered Investment Adviser.  Brattleboro Savings and Loan is not a registered broker-dealer or Registered Investment Adviser.  Brattleboro S & L and Commonwealth are separate and unaffiliated entities.",$29,$40,$39,€26,£22.64,yes,,in progress,,,,,"Not sure what to do: not listed by Bank Track, not in RAN 2021 data. ",,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
caisse_depargne_normandie,caisse d'épargne Normandie,,ok,bimpact,caisse dpargne normandie,,,,bimpact,"This rating was based on caisse d'épargne Normandie's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",France,,,www.caisse-epargne.fr/normandie/professionnels,"Caisse d'Epargne Normandie has more than 210 branches, 4 business centers, 1,799 employees, 1.1 million customers, including 205,000 members. The only bank exclusively covering the whole of Normandy, it supports all clienteles: individuals, professionals, companies, startups, social economy players, Real Estate, Social Housing, protected persons, institutions and local communities. A major player in the economic development of its territory, the Caisse d'Epargne Normandie manages total assets of 35 billion euros. With its cooperative status, it is a full-service Norman bank: the funds it collects locally are reinvested in the region to finance the major projects and companies that make up Normandy. A philanthropic enterprise, Caisse d'Epargne Normandie is a bank engaged in financial education and solidarity-based sponsorship, in particular through the Caisse d'Epargne Normandie Fund for the solidarity initiative. She is also involved in personal microcredit (more than one in three microcredit in Normandy). With more than 7 million euros in donations in 10 years, it is the leading Norman patron of the social and solidarity economy and the voluntary sector.",$29,$40,$39,€26,£22.64,no,,not required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
beneficial_state_bank,Beneficial State Bank,,great,,beneficial state bank,,,,"bimpact,custom,gabv","This rating was manually determined. For great banks, the rating was assigned because the bank.green team was able to verify that the bank does not invest in fossil fuels. You can can contact hello@bank.green to ask how we determined other ratings.",United States,United States,checked,https://beneficialstatebank.com/,"Beneficial State Bank is an innovative, triple-bottom line, community development financial institution. Started in 2007, Beneficial State Bank came from a shared vision to start a bank that finances community-based businesses, builds the long-term prosperity of responsible consumers and supports companies that have a commitment to the environment. BSB has a one of a kind ownership structure-- its profits, when distributed, can only be distributed to Beneficial State Foundation to support our communities and environment. By design, the community is the shareholder that BSB serves, not special interests of any one group. Note: This company or an affiliated individual or entity has made a philanthropic contribution to B Lab within the parameters of its conflict of interest policy. For more information visit the funders and finances section of this website.",$29,$40,$39,€26,£22.64,yes,albert,,,,,,,,,"With a B Impact score of 176/200, Beneficial State can rightly lay claim to being one of the most socially responsible banks on the planet. With impeccable environmental credentials and an ownership model that ensures its mission is always aligned with that of its stakeholders, it is an excellent choice for where to store your money.","Beneficial State Bank (Beneficial State) opened in 2007 under a unique foundation ownership model and has 14 local branches throughout California, Oregon and Washington. We offer checking, savings, loans, credit cards, online and mobile banking and everything else you’d expect from a bank—but we exist to serve your prosperity and goals, not to profit from them.",checked,,checked,,"Branches in CA, WA, OR",,,,checked,0.15-0.45% APY,,Up to $250k (FDIC),checked,Free withdrawals within 1 million ATM network,,,"Secured, Rewards, Business, and Commercial",,"Your money is definitely not funding the fossil fuel industry. Your bank believes in transparency and you can be sure that your money is not enabling gas, oil, or coal extraction. We hope this makes you feel tremendous (boasting is encouraged), but don’t put your feet up just yet – scroll down to discover the next step!",Your bank is great. ,,,,
shine,Shine,,great,bimpact,shine,,,,"bimpact,custom","This rating was manually determined. For great banks, the rating was assigned because the bank.green team was able to verify that the bank does not invest in fossil fuels. You can can contact hello@bank.green to ask how we determined other ratings.",France,,,www.shine.fr,"Shine is a responsible neobank, which offers a 100% online pro account and a real administrative co-pilot. Pro account, invoices, accounting, insurance: they simplify the banking and administrative experience of independents, thanks to a balance between online service and human support.",$29,$40,$39,€26,£22.64,yes,,,,,,,@Albert Carter This one says bimpact in results page variation but reason says GABV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triodos_netherlands,Triodos Bank,,great,,"triodos bank,triodos bank nv",,,checked,"bimpact,custom,gabv","This rating was manually determined. For great banks, the rating was assigned because the bank.green team was able to verify that the bank does not invest in fossil fuels. You can can contact hello@bank.green to ask how we determined other ratings.",Netherlands,Netherlands,checked,https://www.triodos.nl/,,$29,$40,$39,€26,£22.64,yes,albert,,,,,,,,,"Triodos Bank makes sure your money is invested in ethical and sustainable ways. They uphold high standards of transparency and fund a wide range of innovative social, cultural, and environmental projects. They offer top quality financial services to suit a diverse range of customer needs such as personal banking options, investing options, and business financing options.","Since its founding in 1980, Triodos Bank has invested in initiatives that have a positive impact on the world around us. In this way we finance better care for vulnerable elderly and children. We also contribute to reducing food waste and the production of cleaner energy, and we support art that inspires and builds bridges.",checked,,checked,,,,,checked,,,,"Up to €100,000",checked,,€5 per month,"Yes, in euros","No, but account can be linked to a credit card",,"Your money is definitely not funding the fossil fuel industry. Your bank believes in transparency and you can be sure that your money is not enabling gas, oil, or coal extraction. We hope this makes you feel tremendous (boasting is encouraged), but don’t put your feet up just yet – scroll down to discover the next step!",Your bank is great.,,,156175718,724500PMK2A2M1SQQ228
